,X,x,y
1,1,-0.840323262,0.902106
2,2,1.182512487,-1.22665586
3,3,0.279188564,0.568140087
4,4,-0.350602819,-0.402282542
5,5,-1.278097399,-1.123416938
6,6,0.616440194,1.178889942
7,7,1.9323985,0.032725675
8,8,-0.052726256,-1.176184221
9,9,0.253262541,-1.287875916
10,10,1.381112907,-1.240097445
11,11,1.180907408,0.304704565
12,12,-2.007032178,-0.153379942
13,13,0.56596405,1.289321803
14,14,0.364715604,-0.021797841
15,15,1.289837439,-0.741558318
16,16,1.021127597,1.199562777
17,17,-1.049267759,0.193774447
18,18,-0.139368478,-0.143736297
19,19,-0.722449691,-2.577502394
20,20,-2.136533073,0.036421068
21,21,0.643669005,0.816433124
22,22,-1.493111437,-2.206754571
23,23,1.465318092,0.162755805
24,24,-0.651272471,0.957903991
25,25,-0.151355352,0.259011643
26,26,-1.152613167,-0.837817467
27,27,0.157716835,-0.005699905
28,28,0.146635863,0.838173464
29,29,1.461401817,-1.351843444
30,30,1.291293986,0.290088987
31,31,0.088111428,-0.316946316
32,32,-0.933203993,0.034739698
33,33,-0.656827461,-0.857698313
34,34,-1.136569274,-0.254147309
35,35,-0.114739248,1.670387925
36,36,1.167230278,0.133938413
37,37,-1.010189078,0.693642394
38,38,-0.791474435,-0.227630271
39,39,-0.245806304,1.149632415
40,40,0.653066431,0.778705212
41,41,-0.235110537,-1.217087734
42,42,-1.566328614,0.986702241
43,43,-1.41642902,-0.165579565
44,44,-0.739980663,-1.069605327
45,45,-0.295051035,-0.963512474
46,46,-0.195952607,0.923426267
47,47,1.643376164,1.096701696
48,48,-1.836654096,-0.875712386
49,49,-1.888396742,-0.574278166
50,50,-1.071552325,-0.253188152
51,51,-0.990974726,-0.061260477
52,52,1.597677781,0.35584572
53,53,1.115511981,1.035139346
54,54,0.02490766,0.569081234
55,55,-0.684449222,-0.569685804
56,56,-0.694882802,-0.488913904
57,57,-0.321635613,1.023446137
58,58,0.017474,0.247034915
59,59,-0.232283218,0.248194355
60,60,0.484649703,0.722672672
61,61,0.853373994,0.973118615
62,62,1.500385025,-0.650150664
63,63,2.087493568,0.814641161
64,64,-0.79076081,-0.57478553
65,65,-0.486479474,0.56051382
66,66,-1.811343747,1.049142393
67,67,0.456178143,1.967292254
68,68,-0.0446173,0.347453694
