cluster,x,y
2,0.4395244,3.93217629
2,0.7698225,4.78202509
2,2.5587083,3.97399555
2,1.0705084,4.27110877
2,1.1292877,4.37496073
2,2.715065,3.31330669
2,1.4609162,5.83778704
2,-0.2650612,5.15337312
2,0.3131471,3.86186306
2,0.554338,6.25381492
2,2.2240818,5.42646422
2,1.3598138,4.70492852
2,1.4007715,5.89512566
2,1.1106827,5.87813349
2,0.4441589,5.82158108
2,2.7869131,5.68864025
2,1.4978505,5.55391765
2,-0.9666172,4.93808829
2,1.7013559,4.69403734
2,0.5272086,4.619529
3,3.305293,0.70178434
3,3.7920827,-0.26219749
3,2.7346036,-1.57214416
3,6.168956,-1.51466765
3,5.207962,-1.60153617
3,2.8768914,-0.53090652
3,3.5971152,-1.46175558
3,3.5333446,0.68791677
3,4.7799651,2.10010894
3,3.9166309,-1.28703048
3,4.2533185,0.78773885
3,3.9714532,0.76904224
3,3.9571295,0.33220258
3,5.3686023,-1.00837661
3,3.774229,-0.11945261
3,5.5164706,-0.28039534
3,2.4512472,0.56298953
3,4.5846137,-0.37243876
3,4.1238542,0.97697339
3,4.2159416,-0.37458086
3,4.3796395,1.05271147
3,3.4976765,-1.04917701
3,3.6667926,-1.26015524
2,2.9814246,3.24103993
3,2.9282088,-0.41685759
3,4.3035286,0.29822759
3,4.4482098,0.63656967
3,4.0530042,-0.48378063
3,4.9222675,0.51686204
3,6.0500847,0.36896453
3,3.5089688,-0.21538051
3,1.6908311,0.06529303
3,5.0057385,-0.03406725
3,3.2907992,2.1284519
3,3.3119914,-0.7413361
3,5.0255714,-1.09599627
3,3.715227,0.0377884
3,2.7792823,0.31048075
3,4.1813035,0.43652348
3,3.8611086,-0.45836533
3,4.0057642,-1.06332613
3,4.3852804,1.26318518
3,3.62934,-0.34965039
3,4.6443765,-0.86551286
3,3.7795134,-0.23627957
3,4.331782,-0.19717589
3,5.096839,1.10992029
3,4.4351815,0.08473729
3,3.6740684,0.75405379
3,5.1488076,-0.49929202
3,4.9935039,0.21444531
3,4.548397,-0.32468591
3,4.2387317,0.09458353
3,3.3720939,-0.89536336
3,5.3606524,-1.31080153
3,3.3997404,1.99721338
3,6.187333,0.60070882
3,5.5326106,-1.25127136
3,3.7642996,-0.61116592
3,2.9735791,-1.18548008
3,3.2895934,2.19881035
3,4.2568837,1.31241298
3,3.7533081,-0.26514506
3,3.6524574,0.54319406
3,3.0483814,-0.41433995
3,3.9549723,-0.47624689
3,3.2150955,-0.78860284
3,2.3320581,-0.59461727
3,3.6197735,1.65090747
3,4.9189966,-0.05402813
3,3.424653,0.11924524
3,4.6079643,0.24368743
3,2.3821173,1.23247588
3,3.944438,-0.51606383
3,4.5194072,-0.99250715
3,4.3011534,1.67569693
3,4.1056762,-0.44116322
3,3.359294,-0.72306597
3,3.1502957,-1.23627312
3,2.9758712,-1.28471572
3,4.1176466,-0.57397348
3,3.0525254,0.61798582
3,3.5094426,1.10984814
3,3.7439078,0.70758835
3,5.843862,-0.3636573
3,3.3480501,0.05974994
3,4.2353866,-0.70459646
3,4.0779608,-0.71721816
3,3.0381434,0.8846505
3,3.9286919,-1.01559258
3,5.4445509,1.95529397
3,4.4515041,-0.09031959
3,4.0412329,0.21453883
3,3.5775032,-0.7385277
3,1.9467528,-0.57438869
3,5.1313372,-1.31701613
3,2.5393599,-0.18292539
3,4.7399475,0.4189824
3,5.9091036,0.32430434
3,2.5561068,-0.78153649
1,5.211378,6.71160192
1,5.4978013,6.99026225
1,7.4960607,8.3829267
1,4.8626964,6.66441586
1,5.8209484,6.20738116
1,7.9023618,3.78936689
1,5.8990251,8.691714
2,4.6401593,5.51732318
1,5.3352306,8.37473472
1,6.48546,6.37464357
1,5.6243971,7.5384302
1,5.4381236,5.89028968
1,5.6560828,6.51147075
1,6.0904966,6.21395798
1,7.5985088,5.8138793
1,5.9114349,5.87960618
1,7.0807995,7.01283434
1,6.6307541,5.79854185
1,5.8863601,3.96231751
2,4.467098,5.80411075
1,5.4788827,6.53979061
1,5.5101295,6.61645572
1,6.0471544,6.61656782
1,7.3001987,4.30789848
1,8.293079,6.36874206
1,7.5475811,6.96785921
1,5.866849,7.27657868
2,4.2434726,5.77503873
1,5.6112201,5.67810741
1,6.0892072,7.48783783
1,6.845013,4.33207195
1,6.962528,5.56317002
1,6.6843094,6.45746208
2,4.6047257,4.38222623
1,6.849643,6.27962786
1,5.5534428,7.87786402
1,6.1748027,5.99593935
1,6.0745512,5.72154598
1,6.4281668,6.47491171
1,6.024675,5.72092783
2,4.3325249,6.81340037
1,6.736496,6.90443546
1,6.3860266,6.00269166
1,5.7343484,4.82330784
1,6.1181445,4.68177927
1,6.1340386,5.40700263
1,6.2210195,6.7973805
1,7.6408462,4.04179483
1,5.7809496,4.11367484
1,6.1680654,5.34622018
1,7.1683839,6.39439485
1,7.054181,5.08643395
1,7.1452631,6.88674904
1,5.422532,6.33336997
1,8.0024827,5.82936038
1,6.0667009,6.81882814
1,7.8668518,6.38836516
2,4.6490973,5.55406497
1,6.0209836,6.23111493
1,7.2499146,6.64751336
1,5.2847578,6.35628334
1,5.247311,5.34198979
1,5.0614613,6.85520221
1,4.9474867,7.15293623
1,5.5628405,6.27627456
1,6.3311792,6.14410466
2,3.9857895,5.92437492
1,6.2119804,8.16141585
1,7.236675,6.27631553
1,8.037574,5.84170597
1,7.301176,3.4920822
1,6.7567748,4.43471823
2,4.2732696,5.9223268
1,5.3984933,6.20629404
1,5.6479535,6.27687246
1,6.7035239,6.82150678
1,5.8943287,5.80584759
1,4.7413514,7.21458879
1,7.6844357,5.07848396
1,6.9113913,4.79155728
1,6.2374303,4.77101382
1,7.2181086,6.74229702
2,4.6612257,5.91708006
1,6.6608203,6.78981792
1,5.4770876,5.73229358
1,6.6837455,5.4081079
1,5.939178,5.63164742
1,6.6329607,4.14738318
1,7.3355176,4.83038474
1,6.0072901,4.55796535
1,7.0175586,7.05432227
2,4.811566,5.40266991
1,5.2783956,6.78945985
1,7.5192177,7.5164906
1,6.377388,5.80822519
2,3.9477772,6.28387891
2,4.6359625,4.24893248
1,5.799219,5.18133022
1,6.8657794,6.05621485
1,5.8981167,6.2990869
1,6.6241875,5.24060188
1,6.9590054,8.684859
1,7.6710548,5.54160986
1,6.0560167,6.06424356
1,5.9480181,6.64979187
2,4.2467626,5.97398137
1,6.0993276,5.35643261
1,5.4281499,7.04530566
1,5.0259904,7.61554532
1,5.8200938,5.97030603
1,7.0149432,6.56226735
2,4.0072515,5.9025875
1,5.5727207,7.01645522
1,6.1166373,4.84383261
1,5.1067924,8.32086022
1,6.3339029,5.39646875
1,6.4114299,4.54115059
1,5.9669638,5.64908217
2,3.5341018,6.14670848
1,8.5714581,7.62362121
1,5.7947007,6.91120968
1,6.6511933,6.14245843
1,6.2737665,4.61051648
1,7.0246732,5.13396226
1,6.8176594,5.83671507
1,5.7902068,8.55302611
1,6.3781678,4.13977243
1,5.0545912,7.13105465
1,6.856923,5.47276574
1,5.5389617,7.6659909
1,8.4167734,4.86079936
2,4.3489511,6.14362323
1,5.5360128,4.90044906
1,6.8253799,6.90351643
1,6.5101325,7.48377949
1,5.410519,7.95072101
1,5.0032193,6.79760066
1,6.1444757,7.84326625
1,5.9856926,7.24642391
2,4.2097188,5.86812509
1,6.0345511,6.47703724
1,6.1902303,5.02800579
1,6.1747264,5.81479783
1,4.944983,7.22096371
1,6.4761333,6.54128414
1,7.3785701,6.45735733
1,6.4562364,4.96186896
2,4.8644115,5.39548677
1,5.5643545,5.23539399
1,6.3461036,6.39529587
1,5.3529544,5.00949237
2,3.8423537,6.56204139
1,6.8842508,4.88358359
1,5.1705224,7.82853046
1,5.4264397,6.46059135
1,7.5039006,5.29899639
1,5.2258551,6.24104593
1,6.8457315,5.6475468
2,4.7393171,6.37114796
1,5.6454576,6.24353272
1,5.926444,4.98588583
2,4.8313486,5.20868612
1,5.3652517,6.29959368
1,5.9711584,7.63905191
1,6.670696,7.08461701
2,4.3494535,5.37543253
1,5.6502458,6.8259229
1,6.7564064,5.95143165
1,5.4611908,6.30131365
1,6.2272919,6.26036149
1,6.4922286,8.57544976
1,6.267835,4.81471119
1,6.6532577,6.10091986
1,5.8772913,4.22002271
1,5.5863235,6.58983592
2,3.356851,7.09660847
1,5.907059,7.44566224
1,6.4302847,4.07485475
1,6.5353988,6.4127695
1,5.4447216,7.59336995
1,7.7795029,5.58598414
1,6.2864244,5.78784947
1,6.1263159,5.96346278
1,7.2722668,6.36501875
1,5.2815338,6.66515988
1,5.5496614,7.31782088
1,8.3974525,5.90451241
1,6.0111292,6.19627805
1,7.6335684,8.48799788
2,4.5614934,6.43109893
1,5.8094832,6.18875311
1,6.3784239,4.65775687
1,6.3000385,6.00285605
1,4.9943637,5.77867385
1,6.0192593,5.98895417
2,4.9225793,5.42458236
1,6.7127033,5.31318435
1,7.0847751,5.27922637
2,3.7750123,5.78549548
1,7.2356935,7.36813265
1,4.7589555,7.04908663
1,6.4547693,5.64002488
1,6.6599026,4.31408355
1,5.8001102,5.15541657
1,5.354886,5.54223947
1,6.165321,6.103638
1,6.4388187,5.33739272
1,6.8833028,8.00668069
2,3.947663,5.72773247
2,4.3636207,4.78605553
1,7.4304023,5.85873824
1,7.0466288,4.99462242
1,6.4352889,6.15615571
